url,Image,course_title,Puan,,udsronly4,level,udsronly6,coursecardinstructorsmoduleinstructorlistcjtfw,review_parantezli,review,price_tl,price
https://www.youtube.com/watch?v=IXVM-jGcFL4,,android programlama ders 10,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=gsOnXMLUQso,,ANDROİD PROGRAMLAMA YAPMAK İÇİN ANDROİD STUDİO NASIL KURULUR???,,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=tMKmBE3oaMU,,MIT App Inventor ile Android Programlama Eğitimi,,,,Tüm Düzeyler,,,,1,,
https://www.youtube.com/watch?v=J-GpsO-420M,,Android Programlama Dersleri #4: Button Kullanımı,,,,Tüm Düzeyler,,,,111,,
https://www.youtube.com/watch?v=ET25x23vryU,,"Emir Aslan, Mobil (Android) Programlama, bilmece uygulaması",,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=F38IqVdp4q4,,Android Programlama | 20. Uygulama TEST | Taş Kağıt Makas Oyunu,,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=32NZLDZxUu8,,Android Programlama Dersleri / Android Nedir? #1,,,,Tüm Düzeyler,,,,12,,
https://www.youtube.com/watch?v=CE7U02gwoq0,,İLERİ SEVİYE : GİRİŞ ANDROID PROGRAMLAMA haritalar,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=Md1xdWiOsXg,,Android Programlama Ders11: Metod ve Sınıflar,,,,Tüm Düzeyler,,,,12,,
https://www.youtube.com/watch?v=zy5YvpOd_so,,7 - Android Studio'da Java ile Mobil Programlama | Final Proje Tanıtımı,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=RhiqjjEReqA,,Sıfırdan Android Programlama -41- Options Menu xml,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=RYkqqxzSN5o,,Kotlin ile Android Programlama  | Bottom App Bar ile Navigation Component Kullanımı,,,,Tüm Düzeyler,,,,20,,
https://www.youtube.com/watch?v=E_NIiuOIZpI,,Takvim ve Saat Kullanımı (Android Programlama),,,,Tüm Düzeyler,,,,50,,
https://www.youtube.com/watch?v=3TP28ukt16Q,,Android Programlama Dersleri #1: Android Studio Ve Emülatör Kurulumu,,,,Tüm Düzeyler,,,,291,,
https://www.youtube.com/watch?v=bHOlSkOUQOY,,Android Programlama | 14. Uygulama TEST | Jiroskop,,,,Tüm Düzeyler,,,,7,,
https://www.youtube.com/watch?v=DZZ9PmRMimg,,Android Programlama 8- Layout (Pelin Yüksel),,,,Tüm Düzeyler,,,,4,,
https://www.youtube.com/watch?v=aRXN-V6Q1R0,,Android Programlama | 21. Uygulama TEST | İşlem Yap Uygulaması,,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=hSdSTq9gcDU,,AIDE for android (programlama)/#4/arka plan ekleme,,,,Tüm Düzeyler,,,,7,,
https://www.youtube.com/watch?v=HSvEIUMnsjk,,Android Programlama 6.Ders - Xml'de Layout Türleri ve Kullanımı - 02,,,,Tüm Düzeyler,,,,12,,
https://www.youtube.com/watch?v=wvB-pZV6Qt4,,Mobil (Android) Programlama Ödev Videoları Uygulama:ödev:12 sayı üretme,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=-hSbP3pIilQ,,Android Programlama | 10. Uygulama  | Sesi Yazdırma Uygulaması,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=UT1Xa_-dcro,,Mobil Android Programlama 12.Uygulama Ödevi | Rastgele Sayı Üretme,,,,Tüm Düzeyler,,,,1,,
https://www.youtube.com/watch?v=ka064phbA5s,,Android Programlama 3 Yeni Ekran Oluşturma,,,,Tüm Düzeyler,,,,17,,
